
datetime,temperature,consumption,is_weekend
2023-01-01 00:00:00,15.2,120.5,1
2023-01-01 01:00:00,14.8,115.3,1
2023-01-01 02:00:00,14.5,110.2,1
2023-01-01 03:00:00,14.3,105.8,1
2023-01-01 04:00:00,14.1,102.1,1
2023-01-01 05:00:00,13.9,108.7,1
2023-01-01 06:00:00,13.7,125.4,1
2023-01-01 07:00:00,13.6,145.2,1
2023-01-01 08:00:00,13.8,165.8,1
2023-01-01 09:00:00,14.2,185.3,1
2023-01-01 10:00:00,15.0,200.7,1
2023-01-01 11:00:00,16.2,210.5,1
2023-01-01 12:00:00,17.5,215.3,1
2023-01-01 13:00:00,18.8,220.1,1
2023-01-01 14:00:00,20.0,225.6,1
2023-01-01 15:00:00,21.2,230.4,1
2023-01-01 16:00:00,21.5,240.2,1
2023-01-01 17:00:00,21.0,255.7,1
2023-01-01 18:00:00,20.5,270.3,1
2023-01-01 19:00:00,19.8,285.1,1
2023-01-01 20:00:00,19.0,260.4,1
2023-01-01 21:00:00,18.2,230.7,1
2023-01-01 22:00:00,17.5,190.2,1
2023-01-01 23:00:00,16.8,150.6,1
2023-01-02 00:00:00,16.2,125.3,0
2023-01-02 01:00:00,15.8,120.1,0
2023-01-02 02:00:00,15.5,115.7,0
2023-01-02 03:00:00,15.3,110.4,0
2023-01-02 04:00:00,15.1,105.9,0
2023-01-02 05:00:00,14.9,112.3,0
2023-01-02 06:00:00,14.7,135.6,0
2023-01-02 07:00:00,14.6,160.2,0
2023-01-02 08:00:00,14.8,185.7,0
2023-01-02 09:00:00,15.2,205.3,0
2023-01-02 10:00:00,16.0,225.8,0
2023-01-02 11:00:00,17.2,240.5,0
2023-01-02 12:00:00,18.5,250.3,0
2023-01-02 13:00:00,19.8,260.1,0
2023-01-02 14:00:00,21.0,270.6,0
2023-01-02 15:00:00,22.2,280.4,0
2023-01-02 16:00:00,22.5,295.2,0
2023-01-02 17:00:00,22.0,310.7,0
2023-01-02 18:00:00,21.5,330.3,0
2023-01-02 19:00:00,20.8,310.1,0
2023-01-02 20:00:00,20.0,280.4,0
2023-01-02 21:00:00,19.2,240.7,0
2023-01-02 22:00:00,18.5,200.2,0
2023-01-02 23:00:00,17.8,170.6,0
